[1/136] Score:1.0 (100%) | Case:task_1 ✅ ⏱85s
[126/136] Score:39.8 (32%) | Case:task_1 ✅ ⏱82s
[127/136] Score:40.8 (32%) | Case:task_1 ✅ ⏱37s
[128/136] Score:40.8 (32%) | Case:task_4 ✅ ⏱102s
[129/136] Score:40.8 (32%) | Case:task_6 ✅ ⏱85s
[130/136] Score:40.8 (31%) | Case:task_3 ✅ ⏱91s
[131/136] Score:41.1 (31%) | Case:task_7 ✅ ⏱58s
[132/136] Score:41.8 (32%) | Case:task_7 ✅ ⏱57s
[133/136] Score:41.8 (31%) | Case:task_1 ✅ ⏱43s
[134/136] Score:42.8 (32%) | Case:task_2 ✅ ⏱35s
[135/136] Score:43.8 (32%) | Case:task_2 ✅ ⏱32s
[136/136] Score:44.3 (33%) | Case:task_4 ✅ ⏱32s

[DONE] Score:44.3/136 (32.6%) | Time:8553s
